reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum1,Hiss1,CL1,Thre1,Ratio1,Attk1,Release1,Hum2,Hiss2,CL2,Thre2,Ratio2,Attk2,Release2,Hum3,Hiss3,CL3,Thre3,Ratio3,Attk3,Release3
0.388,15,30,0,-15,1,10,219.45,60,35.84,0,-15,1,10,300,15,60,0,-15,10,0.1,50,15,30,1.52,-15,4.56,0.1,191.1
0.39,15,30,0,-15,1,10,250.85,60,30,0,-15,1,10,300,15,60,0,-15,10,0.1,50,15,30,2,-15,1,0.1,294.9
0.368,15,30,0,-15,1,10,252.46,60,36.21,0,-15,1,10,300,15,60,0,-15,8.3,0.1,50,15,30,2,-15,1,0.1,300
0.364,15,30,0,-15,1,10,260.75,60,41.69,0,-15,1,10,300,15,60,0,-15,10,0.1,50,15,30,2,-15,1.49,0.1,300
0.39,15,30,0,-15,1,10,300,60,30,0,-15,1,10,248.38,15,60,0,-15,10,0.1,50,15,30,2,-15,1,0.1,300
0.39,15,30,0,-15,1,10,200.97,60,30,0,-15,1,10,227.72,15,60,0,-15,10,0.1,50,15,30,2,-15,1,0.1,193.84
0.39,15,30,0,-15,1,10,289.08,60,30,0,-15,1,10,300,15,60,0,-15,10,0.1,50,15,30,2,-15,1,0.1,235.26
0.379,15.33,30,0,-15,1,10,300,60,60,0,-15,1,10,296.04,15,60,0,-15,10,0.1,50,15,30,2,-15,3.52,0.1,50
0.328,15,30,0,-15,1,10,300,60,60,0,-15,1,10,197.07,20.62,60,0,-15,10,0.1,50,15,30,2,-15,1,0.1,50
0.346,15,30,0,-15,1,10,300,60,60,0,-15,1,10,178.29,15.26,60,0,-15,10,0.1,50,15,30,2,-12.05,1,0.1,50
0.339,15,56.96,0.97,-3.29,1,10,61.31,15.4,34.93,0,-10.32,3.92,4.07,300,31.67,30,0,0,1,10,221.93,60,37.94,1.74,-9.06,10,8,50
0.322,20.89,43.67,0,-11.02,1,10,137.87,15,31.88,0,-6.81,1,0.1,300,49.46,30,0.16,-9.48,1,3.81,200.96,60,30,1.47,0,6.49,10,187.57
