reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum1,Hiss1,CL1,Thre1,Ratio1,Attk1,Release1,Hum2,Hiss2,CL2,Thre2,Ratio2,Attk2,Release2,Hum3,Hiss3,CL3,Thre3,Ratio3,Attk3,Release3
0.432,15,30,2,-15,7.21,5.06,50,60,30,0.06,-15,1,0.1,300,60,60,2,-15,1,10,300,15,60,0,-15,7.94,10,50
0.295,57.86,40.52,0.76,-10.3,1.84,0.1,50,53.33,47.83,1.04,-4.96,6.24,3.37,247.72,38.38,30,0.87,-5.53,1.93,0.1,178.9,49.35,40.3,0.9,-9.52,5.58,7.36,300
0.332,60,40.7,1.01,-9.11,9.45,0.1,50,56.22,46.32,1.86,0,3.74,0.1,300,15,34.89,1.21,-6.32,1,1.13,50,48.34,50.21,1.05,-3.04,9.32,2.56,300
0.397,60,30,0.13,-15,10,0.1,50,60,60,2,0,7.6,0.1,200.39,15,30,0.51,-14.03,1,0.1,50,57.86,60,0,0,4.72,0.1,300
0.369,60,35.39,0.81,-15,3.34,0.1,50,56.85,52.43,1.34,0,9.02,0.1,157.85,15,33.31,0.02,-15,6.27,0.1,52.76,51.54,60,0.23,-1.7,1,0.1,259.01
0.422,60,30,0.2,-15,4.46,0.1,50,60,53.36,0.09,0,7.82,0.1,50,15,30,0.31,-15,4.24,0.1,50,60,45.54,2,0,1,0.1,300
0.381,60,30,0.44,-11.17,3.96,0.1,50,60,60,0,0,6.23,0.1,232.72,15,30,0,-15,4.04,0.1,172.46,60,43.29,2,0,1,0.1,300
0.36,60,30,0.58,-9.11,7.81,0.1,50,60,60,0,0,6.09,0.1,300,15,30,0,-15,1,0.54,300,60,40.21,2,0,1.43,0.1,300
0.377,60,30,2,-11.09,3.94,0.1,50,45.49,54.93,0,0,5.45,0.1,220.57,15,30,0,-15,1,3.33,300,60,41.24,2,0,1,0.1,300
0.431,60,30,2,-15,8.09,0.1,50,60,46.26,0,0,8.36,0.1,231.74,15,30,0,-15,1,0.1,238.66,60,32.94,2,0,1,0.1,300
0.416,60,30,2,-15,4.15,0.1,50,60,60,1.19,0,6.39,0.1,252.42,15,30,0,-15,1,0.1,300,60,33.53,1.95,0,1,9.18,300
0.42,48.82,30,2,-15,4.29,0.1,50,60,60,1.82,0,6.92,0.1,239.57,15,30,0,-15,1,0.1,268.39,60,35.63,2,0,1,6.87,300
0.437,60,30,2,-15,6.04,0.1,50,60,51.36,1.39,0,10,0.1,239.05,15,30,0,-15,1,0.1,300,60,30,2,0,1,1.82,238.29
0.44,50.32,30,2,-15,6.65,0.1,50,60,42.83,2,0,10,0.1,166.46,15,30,0,-15,1.97,0.1,300,60,53.58,2,0,1,2.42,300
0.366,49.64,46.63,2,-15,5.11,0.1,50,60,54.53,1.8,0,10,0.1,139.68,15,30,0,-15,1,0.1,300,60,60,2,0,1,3.99,206.28
