reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum1,Hiss1,CL1,Thre1,Ratio1,Attk1,Release1,Hum2,Hiss2,CL2,Thre2,Ratio2,Attk2,Release2,Hum3,Hiss3,CL3,Thre3,Ratio3,Attk3,Release3
0.528,15,60,2,-2.22,10,0.1,108.59,60,60,2,0,10,10,50,60,57.46,1.54,0,5.63,0.1,300,15,60,0.81,0,1,0.1,50
0.561,15,60,2,-15,7.41,0.1,256.35,60,60,2,0,10,10,50,60,60,0.31,0,1,0.1,300,15,60,1.66,0,1,0.1,50
0.558,15,60,2,-15,7.46,0.1,300,60,60,2,0,10,10,50,60,60,0,0,1,0.1,300,15,60,1.74,0,1,0.1,50
0.546,15,60,2,-9.41,4.78,0.72,300,60,60,2,0,10,10,50,60,60,0.12,0,1,0.1,300,15,60,1.64,0,1,0.1,50
0.508,15,60,2,-0.91,5.04,0.54,300,60,60,2,0,10,10,50,60,42.97,0,0,1,0.1,300,44.51,60,1.35,0,1,0.1,50
0.518,15,60,2,-8.29,9.45,3.76,300,60,60,2,0,10,10,50,60,49.78,0.18,0,1,0.1,300,54.07,60,0,0,1,0.1,50
0.538,15,60,2,-15,10,5.39,300,60,60,2,-0.84,10,10,50,60,60,0,0,1,0.1,300,60,60,0,0,1,0.1,50
0.54,15,60,2,-15,10,2.46,300,60,60,2,-0.12,8.54,10,50,60,60,0,0,1.21,0.1,300,60,60,0,0,1,0.1,50
0.535,15,60,2,-15,10,8.92,300,60,60,2,0,8.87,10,50,60,60,0,0,7.83,0.1,300,45.41,60,0,0,1,0.1,50
0.536,15,60,2,-15,10,10,300,60,60,2,0,3.63,9.21,50,60,58.15,0,0,9.29,0.1,300,53.24,60,0,0,1,0.1,50
0.547,15,60,2,-15,10,9.39,300,60,60,2,-8.55,2.85,3.58,50,60,60,0,0,10,0.1,300,32.57,60,0,0,1,0.1,50
0.556,15,60,2,-15,10,6.08,300,60,60,2,-12.92,2.33,3.85,50,60,60,0,0,10,0.1,300,46.18,60,0,0,1,0.1,50
0.538,15,60,2,-15,10,5.69,300,60,60,2,-15,1,1.62,50,60,60,0,0,10,0.1,300,36.42,60,0,0,1,0.1,50
0.541,15,60,2,-15,10,0.1,300,60,60,2,-12.01,1,2.72,50,60,60,0,0,10,0.1,300,33.01,60,0,0,1,0.1,50
0.539,15,60,2,-15,10,0.1,300,60,60,2,-8.44,1,1.82,50,60,60,0,0,10,0.1,300,44.35,60,0,0,1,0.1,50
0.538,15,60,2,-15,10,0.1,300,60,60,2,-13.86,1,0.1,50,60,60,0,0,10,0.1,300,56.88,60,0,0,1,0.1,92.13
0.539,15,60,2,-15,10,0.1,300,60,60,2,-6.54,1,0.1,50,56.7,60,0,0,10,0.1,300,49.89,60,0,0,1,0.1,240.07
0.545,15,60,2,-15,10,0.1,300,60,60,2,-15,1,6.46,50,60,60,0,0,9.32,0.1,300,23.17,60,0,0,1,0.1,300
0.563,28.98,50.74,1.6,-14.07,8.39,1.21,50,15,43.2,0.86,-10.61,6.62,10,285.54,53.12,60,1.65,-15,1.76,5.23,300,47.08,49.34,0.65,-7.52,6.38,9.46,236.24
0.546,15.83,37.95,2,-4.26,1,0.1,50,15,40.89,0.3,0,2.74,1.46,300,46.33,60,2,-15,1,3.3,156.22,30.92,60,1.18,-4.78,10,10,67.11
0.539,19.57,37.53,2,-14.69,1,0.1,50,15,41.19,0,-2.02,3.93,0.1,300,60,60,2,-11.84,1,0.1,50,21.45,60,0.35,0,6.35,1.34,50
0.564,15,30,2,-9.3,1,0.1,50,15,41.59,0.67,-5.6,1,0.1,300,60,60,2,-15,1,2.9,118.73,19.21,60,0.26,0,4.74,5.47,50
0.587,15,60,2,-1.73,3.94,0.1,50,15,48.57,1.96,-15,5.71,0.1,300,60,60,2,-15,1,0.43,75.8,15,34,0,0,2.9,5.94,50
0.586,15,42.9,2,0,9.57,0.1,50,15,60,1.07,-15,7.47,0.1,300,60,60,2,-15,1,3.93,72.85,15,36.24,1.25,0,3.15,0.1,103.73
0.576,15,59.56,2,0,10,0.1,50,15,60,0,-15,5.36,0.1,300,60,60,2,-15,1,0.96,128.99,15,36.01,0.49,0,1.24,8.72,50
0.573,15,30,2,0,10,0.1,50,15,60,0.24,-15,2.16,0.1,300,60,60,2,-15,1,0.28,300,15,60,0,0,1,6.5,50
0.588,15,30,2,0,10,2.48,50,15,36.36,0,-15,2.71,0.1,300,60,60,2,-14.01,1,1.32,300,15,38.74,0.43,0,5.4,10,181.36
0.585,15,30,2,0,10,6.39,50,15,60,0,-15,6.08,0.1,300,60,60,2,0,1,0.1,300,15,57.06,0,0,6.32,10,50
0.571,15,30,2,0,9.83,1.95,50,15,58.42,0,-15,2.01,0.1,300,60,60,2,0,1,0.1,300,15,60,0,-5.93,8.76,9.99,62.19
0.541,22.71,30,2,0,10,1.37,50,44.14,45.7,0,-15,4.28,0.1,300,60,60,2,0,1,0.1,300,15,60,0,-11.15,4.13,8.35,50
0.554,15,30,2,0,10,4.23,50,60,53.07,0,-15,4.81,0.1,300,60,60,2,0,1,0.1,300,15,60,0,-10.49,2.34,10,68.55
0.55,60,30,2,0,10,10,50,60,35.47,0.18,-15,6.03,0.1,300,60,60,2,0,1,1.28,300,15,48.21,0,-10.11,6.34,10,125.74
0.57,60,30,2,0,10,8.78,50,60,30,1.73,-15,8.57,0.1,300,60,60,2,-2.1,1,0.67,300,15,57.84,0,-14.62,1.46,10,50
0.573,50.8,30,2,0,10,10,50,60,30,2,-15,10,0.1,300,60,60,2,-11.05,1,1.34,300,15,60,0,-15,1,10,91.03
0.578,60,30,2,0,10,10,50,32.67,30,1.98,-15,10,0.1,300,60,60,2,-7.88,1,0.86,300,15,55.33,0,-15,1,10,84.46
0.583,60,30,2,0,10,10,50,24.82,30,2,-15,10,0.1,300,60,60,2,-15,1,5.42,300,15,60,0,-15,1.2,10,83.1
